Id_Siniestro,Nro_Victimas,Fecha,Franja_Hora,Tipo_Calle,Comuna,Longitud,Latitud,Victima,Acusado,Rol,Sexo,Edad
2016-0001,1,2016-01-01,4,Avenida,8,-58.47533969,-34.68757022,Moto,Auto,Conductor,Masculino,19
2016-0002,1,2016-01-02,1,Gral Paz,9,-58.50877521,-34.66977709,Auto,Pasajeros,Conductor,Masculino,70
2016-0003,1,2016-01-03,7,Avenida,1,-58.39040293,-34.63189362,Moto,Auto,Conductor,Masculino,30
2016-0004,1,2016-01-10,0,Avenida,8,-58.46503904,-34.68092974,Moto,,Conductor,Masculino,18
2016-0005,1,2016-01-21,5,Avenida,1,-58.38718297,-34.62246630,Moto,Pasajeros,Conductor,Masculino,29
2016-0008,1,2016-01-24,18,Avenida,8,-58.44451316,-34.68475866,Moto,Objeto Fijo,Conductor,Masculino,30
2016-0009,1,2016-01-24,19,Calle,11,-58.50095869,-34.60825440,Moto,Auto,Pasajero_Acompañante,Masculino,29
2016-0010,1,2016-01-29,15,Gral Paz,9,-58.50877521,-34.66977709,Moto,Auto,Conductor,Masculino,18
2016-0012,1,2016-02-08,1,Avenida,1,-58.38048577,-34.61303893,Moto,Cargas,Conductor,Masculino,22
2016-0013,1,2016-02-10,11,Avenida,1,-58.39114932,-34.62477387,Peaton,Auto,Peaton,Masculino,16
2016-0015,1,2016-02-14,5,Avenida,15,-58.43760020,-34.59912758,Peaton,Auto,Peaton,Femenino,16
2016-0016,1,2016-02-14,22,Avenida,4,-58.36882665,-34.64291993,Moto,Auto,Pasajero_Acompañante,Femenino,19
2016-0017,1,2016-02-15,16,Avenida,8,-58.44989671,-34.65970435,Peaton,Moto,Peaton,Masculino,59
2016-0019,1,2016-02-17,9,Calle,9,-58.50990884,-34.65468721,Peaton,Pasajeros,Peaton,Femenino,65
2016-0020,1,2016-02-17,16,Calle,1,-58.37952223,-34.60653282,Peaton,Auto,Peaton,Masculino,59
2016-0021,1,2016-02-17,23,Avenida,7,-58.45157703,-34.63063795,Auto,Auto,Conductor,Masculino,34
2016-0022,1,2016-02-21,6,Avenida,1,-58.38144696,-34.61079875,Moto,Auto,Pasajero_Acompañante,Masculino,41
2016-0025,1,2016-02-28,4,Gral Paz,8,-58.46244952,-34.70524971,Auto,Auto,Pasajero_Acompañante,Masculino,34
2016-0026,1,2016-02-28,7,Calle,12,-58.49216191,-34.54738649,Auto,Objeto Fijo,Conductor,Masculino,30
2016-0027,1,2016-02-28,9,Avenida,7,-58.44497874,-34.63852623,Auto,Auto,Pasajero_Acompañante,Masculino,34
2016-0028,1,2016-03-02,10,Avenida,1,-58.38199706,-34.60028648,Peaton,Cargas,Peaton,Masculino,50
2016-0029,1,2016-03-04,17,Avenida,12,-58.47378664,-34.54153077,Peaton,Pasajeros,Peaton,Masculino,38
2016-0031,1,2016-03-08,12,Gral Paz,8,-58.47064556,-34.69843756,Moto,Pasajeros,Conductor,Masculino,21
2016-0034,1,2016-03-12,12,Avenida,4,-58.40623949,-34.65076549,Peaton,Pasajeros,Peaton,Masculino,52
2016-0035,1,2016-03-13,6,Avenida,3,-58.39228965,-34.60443527,Moto,Pasajeros,Conductor,Masculino,34
2016-0036,1,2016-03-14,0,Calle,4,-58.37813396,-34.63668504,Moto,Pasajeros,Pasajero_Acompañante,Masculino,36
2016-0037,1,2016-03-19,11,Avenida,7,-58.46275892,-34.64358293,Moto,Moto,Conductor,Masculino,20
2016-0038,1,2016-03-21,8,Gral Paz,8,-58.49683458,-34.67892743,Peaton,Pasajeros,Peaton,Masculino,29
2016-0039,1,2016-03-23,1,Avenida,3,-58.40603217,-34.60883960,Moto,Pasajeros,Conductor,Masculino,20
2016-0041,2,2016-03-29,11,Avenida,7,-58.46076550,-34.63350444,Moto,Cargas,Conductor,Masculino,54
2016-0041,2,2016-03-29,11,Avenida,7,-58.46076550,-34.63350444,Moto,Cargas,Pasajero_Acompañante,Masculino,
2016-0043,1,2016-03-30,18,Avenida,8,-58.47832463,-34.67494416,Peaton,Cargas,Peaton,Femenino,56
2016-0044,1,2016-03-31,19,Avenida,7,-58.43213235,-34.63693953,Moto,Multiple,Conductor,Masculino,24
2016-0045,1,2016-04-11,10,Gral Paz,13,-58.46743471,-34.53476874,Moto,,Conductor,Masculino,
2016-0047,1,2016-04-15,5,Calle,1,-58.38247061,-34.62571878,Peaton,Pasajeros,Peaton,Masculino,41
2016-0048,1,2016-04-15,17,Avenida,15,-58.44759966,-34.59170240,Peaton,Pasajeros,Peaton,Femenino,
2016-0049,1,2016-04-17,0,Autopista,4,-58.37714647568196,-34.63657525428238,,,,,
2016-0050,1,2016-04-19,9,Avenida,8,-58.47305463,-34.68550712,Peaton,Pasajeros,Peaton,Masculino,78
2016-0051,1,2016-04-20,4,Avenida,4,-58.40623949,-34.65076549,Moto,Cargas,Conductor,Masculino,36
2016-0052,1,2016-04-20,20,Autopista,13,-58.4577,-34.5516,Moto,,,,
2016-0053,1,2016-04-22,9,Avenida,12,-58.48429180,-34.57558053,Peaton,Pasajeros,Peaton,Masculino,38
2016-0054,1,2016-04-23,21,Autopista,8,-58.48695354,-34.68795245,Moto,Moto,Conductor,Masculino,30
2016-0055,1,2016-04-25,20,Avenida,14,-58.40021959,-34.57964781,Peaton,Cargas,Peaton,Masculino,79
2016-0056,1,2016-04-26,4,Avenida,14,-58.42957885,-34.57660058,Moto,Objeto Fijo,Conductor,Masculino,26
2016-0058,1,2016-05-04,14,Calle,1,-58.38247542,-34.62556293,Peaton,Moto,Peaton,Femenino,57
2016-0059,1,2016-05-08,16,Calle,1,-58.38222219,-34.62728101,Peaton,Pasajeros,Peaton,Masculino,37
2016-0064,1,2016-05-14,18,Avenida,10,-58.49485242,-34.62953445,Peaton,Pasajeros,Peaton,Masculino,20
2016-0065,1,2016-05-20,14,Avenida,6,-58.45227946,-34.61068024,Peaton,Auto,Peaton,Masculino,20
2016-0067,1,2016-05-21,17,Avenida,8,-58.48455411,-34.67512760,Moto,Pasajeros,Pasajero_Acompañante,Femenino,30
2016-0068,1,2016-05-22,22,Avenida,2,-58.39056593,-34.58418569,Moto,Pasajeros,Conductor,Masculino,58
2016-0069,1,2016-05-23,3,Avenida,3,-58.39118948,-34.62704273,Auto,Cargas,Conductor,Masculino,30
2016-0073,1,2016-06-11,15,Calle,10,-58.49021952,-34.62025108,Moto,Cargas,Conductor,Masculino,23
2016-0074,1,2016-06-12,6,Gral Paz,8,-58.49896559,-34.67732118,Auto,Auto,Conductor,Masculino,60
2016-0075,1,2016-06-12,23,Autopista,8,-58.47461076,-34.66874679,Peaton,Auto,Peaton,Masculino,42
2016-0076,1,2016-06-13,16,Avenida,15,-58.46210891,-34.60356211,Peaton,Pasajeros,Peaton,Femenino,53
2016-0077,1,2016-06-13,21,Avenida,1,-58.37027770,-34.60536123,Peaton,Pasajeros,Peaton,Femenino,
2016-0078,1,2016-06-13,23,Avenida,3,-58.40491455,-34.61463830,Moto,Moto,Conductor,Masculino,30
2016-0079,1,2016-06-16,17,Avenida,13,-58.45504154,-34.54864492,Auto,Auto,Conductor,Femenino,51
2016-0080,1,2016-06-18,6,Gral Paz,9,-58.52927982,-34.63931752,Auto,,Conductor,Masculino,60
2016-0081,1,2016-06-22,7,Avenida,12,-58.48721060,-34.55904606,Moto,Auto,Conductor,Masculino,40
2016-0082,1,2016-06-27,18,Avenida,4,-58.42273092,-34.64228803,Peaton,Auto,Peaton,Masculino,87
2016-0083,1,2016-06-28,20,Avenida,6,-58.44788671,-34.62539009,Peaton,Moto,Peaton,Femenino,76
2016-0084,1,2016-06-29,22,Calle,1,-58.38110563,-34.60135531,Peaton,Pasajeros,Peaton,Masculino,57
2016-0085,1,2016-06-29,22,Avenida,4,-58.42378834,-34.65734100,Moto,Otro,,Masculino,
2016-0086,1,2016-06-30,16,Avenida,10,-58.48727942,-34.63652467,Peaton,Pasajeros,Peaton,Masculino,75
2016-0087,1,2016-07-02,0,Autopista,1,-58.37864583,-34.62907067,Moto,Objeto Fijo,Conductor,Masculino,23
2016-0088,1,2016-07-11,15,Calle,12,-58.50151750,-34.56767549,Peaton,Auto,Peaton,Femenino,70
2016-0089,1,2016-07-14,6,Autopista,13,-58.43233425,-34.55185825,Peaton,Auto,Peaton,Masculino,35
2016-0090,1,2016-07-14,22,Avenida,5,-58.41971993,-34.61112240,Peaton,Pasajeros,Peaton,Masculino,60
2016-0092,1,2016-07-15,11,Gral Paz,13,-58.46743471,-34.53476874,Moto,Cargas,Conductor,Masculino,24
2016-0093,1,2016-07-17,3,Avenida,6,-58.44362126,-34.62301748,Auto,Auto,Conductor,Masculino,35
2016-0095,1,2016-07-23,6,Avenida,11,-58.51713095,-34.59546519,Moto,Auto,Conductor,Masculino,29
2016-0096,1,2016-07-25,7,Autopista,8,-58.47433193007387,-34.66684950051973,Moto,Cargas,Conductor,Masculino,
2016-0097,1,2016-07-26,18,Calle,1,-58.39038605,-34.61562810,Peaton,Auto,Peaton,Masculino,80
2016-0098,1,2016-07-27,16,Avenida,3,-58.40042405,-34.62356174,Moto,Cargas,Conductor,Femenino,43
2016-0099,1,2016-07-29,16,Gral Paz,11,-58.52340614,-34.59798754,Cargas,Cargas,Conductor,Masculino,45
2016-0100,1,2016-08-03,23,Gral Paz,12,-58.49491054,-34.54795581,Moto,Objeto Fijo,Conductor,Masculino,57
2016-0101,1,2016-08-07,19,Gral Paz,9,-58.52932872,-34.65014993,,,,Masculino,67
2016-0102,1,2016-08-10,23,Avenida,9,-58.50011639,-34.67316502,Moto,Cargas,Conductor,Masculino,29
2016-0104,1,2016-08-14,21,Avenida,9,-58.46635001,-34.65624369,Moto,Pasajeros,Conductor,Masculino,21
2016-0105,1,2016-08-17,0,Avenida,15,-58.45343236,-34.58435809,Peaton,Pasajeros,Peaton,Masculino,19
2016-0106,1,2016-08-19,21,Avenida,1,-58.38090932,-34.58927731,Peaton,Pasajeros,Peaton,Masculino,38
2016-0107,1,2016-08-20,8,Autopista,4,-58.37157668,-34.65429986,Moto,Auto,Conductor,Masculino,21
2016-0109,1,2016-08-24,5,Autopista,9,-58.52280139,-34.63659934,Auto,Objeto Fijo,Conductor,Femenino,53
2016-0110,1,2016-08-24,20,Avenida,9,-58.51232237,-34.65903530,Peaton,,Peaton,Masculino,57
2016-0111,1,2016-08-25,9,Autopista,15,-58.47461905,-34.57663634,Moto,Cargas,Conductor,Masculino,27
2016-0112,1,2016-08-27,4,Autopista,1,-58.38268809,-34.62282019,Moto,Objeto Fijo,Conductor,Masculino,24
2016-0113,1,2016-08-27,16,Avenida,9,-58.49603546,-34.64564271,Peaton,Pasajeros,Peaton,Femenino,60
2016-0114,1,2016-08-31,11,Calle,14,-58.41848605,-34.59394733,Bicicleta,Cargas,Ciclista,Femenino,55
2016-0115,1,2016-09-02,11,Calle,12,-58.48935041,-34.54917673,,Cargas,,Masculino,
2016-0116,1,2016-09-02,20,Avenida,8,-58.44451316,-34.68475866,Moto,Auto,Conductor,Masculino,30
2016-0117,1,2016-09-03,15,Avenida,14,-58.39936478,-34.58271474,Auto,Auto,Conductor,Masculino,43
